clustering,assortativity,transitivity,modularity,degree mean,degree std,nodes,edges,shortest path,genres
0.71,0.51,0.39,0.42,0.46,0.61,0.49,0.41,0.19,Drama
0.16,0.35,0.22,0.58,0.09,0.22,0.25,0.08,0.37,Biography
0.58,0.33,0.19,0.4,0.18,0.42,0.45,0.2,0.36,Crime
0.73,0.49,0.46,0.34,0.36,0.54,0.45,0.32,0.26,Adventure
0.64,0.54,0.45,0.34,0.2,0.25,0.25,0.12,0.32,Comedy
0.65,0.32,0.5,0.15,0.24,0.26,0.14,0.09,0.2,Action
0.77,0.52,0.46,0.43,0.42,0.5,0.43,0.34,0.29,Horror
0.7,0.35,0.2,0.41,0.15,0.36,0.36,0.15,0.32,Action
0.49,0.37,0.28,0.51,0.16,0.34,0.33,0.14,0.29,Drama
0.81,0.26,0.62,0.09,0.49,0.43,0.18,0.19,0.13,Adventure
0.82,0.62,0.65,0.38,0.46,0.32,0.21,0.2,0.16,Action
0.51,0.45,0.49,0.28,0.21,0.2,0.12,0.07,0.2,Action
0.73,0.29,0.64,0.1,0.26,0.17,0.07,0.06,0.09,Biography
0.46,0.63,0.55,0.32,0.2,0.23,0.19,0.1,0.33,Action
0.67,0.4,0.31,0.17,0.23,0.37,0.33,0.17,0.33,Crime
0.45,0.25,0.13,0.42,0.07,0.23,0.26,0.08,0.33,Drama
0.8,0.48,0.66,0.15,0.34,0.3,0.15,0.12,0.19,Action
0.91,0.53,0.88,0.04,0.33,0.08,0.04,0.05,0,Crime
0.78,0.57,0.5,0.52,0.45,0.58,0.5,0.41,0.22,Comedy
0.75,0.46,0.38,0.35,0.35,0.57,0.48,0.33,0.3,Horror
0.66,0.44,0.52,0.26,0.3,0.34,0.21,0.14,0.2,Drama
0.69,0.51,0.25,0.63,0.19,0.34,0.47,0.21,0.37,Crime
0.69,0.66,0.6,0.57,0.32,0.38,0.35,0.23,0.36,Biography
0.28,0.2,0.03,0.18,0.04,0.21,0.15,0.04,0.23,Crime
0.47,0.53,0.47,0.64,0.14,0.13,0.14,0.06,0.36,Crime
0.54,0.59,0.4,0.87,0.2,0.22,0.39,0.18,0.56,Comedy
0.67,0.56,0.39,0.46,0.35,0.47,0.45,0.31,0.29,Comedy
0.69,0.49,0.74,0.1,0.42,0.29,0.13,0.13,0.11,Comedy
0.62,0.75,0.47,0.68,0.27,0.25,0.34,0.2,0.39,Comedy
0.92,0.33,0.53,0.3,0.28,0.26,0.13,0.1,0.13,Action
0.56,0.54,0.31,0.67,0.21,0.31,0.44,0.21,0.37,Drama
0.75,0.23,0.16,0.24,0.13,0.29,0.18,0.07,0.24,Adventure
0.6,0.47,0.26,0.44,0.17,0.27,0.4,0.17,0.43,Action
0.47,0.38,0.35,0.33,0.15,0.24,0.2,0.09,0.28,Horror
0.2,0,0.09,0.17,0,0.05,0.01,0,0.15,Adventure
0.59,0.56,0.7,0.19,0.43,0.33,0.16,0.16,0.16,Adventure
0.43,0.76,0.48,0.69,0.22,0.2,0.27,0.14,0.42,Adventure
0.66,0.41,0.13,0.37,0.13,0.39,0.35,0.13,0.23,Crime
0.69,0.34,0.42,0.19,0.28,0.37,0.25,0.16,0.25,Action
0.86,0.54,0.48,0.36,0.19,0.21,0.22,0.11,0.34,Adventure
0.53,0.51,0.6,0.09,0.32,0.33,0.19,0.14,0.24,Action
0.44,0.31,0.31,0.35,0.13,0.19,0.14,0.06,0.24,Drama
0.85,0.29,0.17,0.32,0.09,0.21,0.19,0.06,0.28,Drama
0.84,0.48,0.47,0.5,0.28,0.38,0.31,0.19,0.24,Drama
0.71,0.57,0.45,0.51,0.3,0.34,0.39,0.24,0.35,Drama
0.75,0.61,0.62,0.3,0.6,0.65,0.46,0.48,0.23,Comedy
0.67,0.53,0.06,0.53,0.15,0.52,0.67,0.26,0.29,Biography
0.74,0.46,0.65,0.36,0.49,0.48,0.26,0.25,0.17,Comedy
0.57,0.62,0.48,0.51,0.22,0.28,0.3,0.16,0.37,Action
0.46,0.36,0.18,0.44,0.12,0.27,0.28,0.1,0.32,Action
0.28,0.34,0.16,0.62,0.12,0.35,0.5,0.18,0.4,Biography
0.61,0.49,0.2,0.49,0.22,0.49,0.58,0.28,0.32,Biography
0.73,0.39,0.47,0.28,0.21,0.31,0.21,0.11,0.22,Action
0.66,0.34,0.21,0.27,0.19,0.41,0.34,0.16,0.28,Drama
0.7,0.46,0.24,0.34,0.22,0.37,0.3,0.16,0.21,Crime
0.73,0.49,0.44,0.49,0.28,0.38,0.32,0.2,0.25,Drama
0.62,0.45,0.18,0.49,0.13,0.31,0.39,0.15,0.51,Crime
0.85,0.24,0.62,0.06,0.32,0.2,0.08,0.08,0.07,Comedy
0.08,0.32,0.29,0.33,0.07,0.04,0.04,0.02,0.21,Action
0.59,0.57,0.4,0.55,0.15,0.17,0.18,0.08,0.3,Drama
0.66,0.55,0.36,0.5,0.39,0.57,0.68,0.5,0.32,Comedy
0.58,0.4,0.47,0.31,0.23,0.33,0.23,0.13,0.28,Action
0.84,0.54,0.52,0.44,0.55,0.67,0.53,0.52,0.22,Action
0.66,0.34,0.57,0.1,0.26,0.27,0.14,0.09,0.19,Drama
0.52,0.36,0.29,0.34,0.16,0.25,0.24,0.11,0.32,Adventure
0.49,0.63,0.43,0.36,0.24,0.3,0.31,0.17,0.4,Crime
0.59,0.41,0.17,0.45,0.13,0.32,0.38,0.14,0.38,Comedy
0.77,0.48,0.45,0.25,0.24,0.27,0.2,0.12,0.27,Action
0.49,0.28,0.07,0.3,0.07,0.28,0.2,0.06,0.21,Drama
0.84,0.58,0.63,0.37,0.58,0.49,0.28,0.31,0.2,Action
0.59,0.44,0.38,0.3,0.28,0.43,0.33,0.2,0.24,Biography
0.8,0.34,0.34,0.23,0.15,0.22,0.15,0.07,0.26,Horror
0.67,0.39,0.29,0.36,0.21,0.37,0.34,0.17,0.3,Comedy
0.74,0.51,0.36,0.69,0.24,0.33,0.43,0.22,0.38,Action
0.56,0.36,0.16,0.37,0.08,0.23,0.18,0.06,0.25,Horror
0.81,0.54,0.47,0.42,0.26,0.25,0.2,0.12,0.23,Action
0.86,0.49,0.72,0.12,0.48,0.3,0.14,0.15,0.09,Action
0.86,0.46,0.54,0.32,0.47,0.48,0.32,0.29,0.22,Adventure
0.52,0.48,0.57,0.31,0.15,0.06,0.04,0.03,0.13,Drama
0.66,0.53,0.58,0.53,0.32,0.41,0.32,0.21,0.26,Comedy
0.85,0.36,0.5,0.18,0.41,0.49,0.29,0.24,0.2,Comedy
0.56,0.4,0.24,0.66,0.14,0.25,0.29,0.11,0.34,Crime
0.9,0.62,0.63,0.5,0.56,0.69,0.52,0.52,0.25,Comedy
0.78,0.54,0.48,0.64,0.29,0.4,0.41,0.25,0.32,Drama
0.73,0.49,0.32,0.33,0.17,0.22,0.16,0.08,0.17,Comedy
0.67,0.54,0.62,0.16,0.31,0.25,0.14,0.11,0.17,Action
0.7,0.48,0.47,0.31,0.27,0.33,0.25,0.16,0.25,Comedy
0.6,0.53,0.31,0.41,0.31,0.51,0.5,0.31,0.26,Drama
0.82,0.34,0.39,0.25,0.23,0.28,0.16,0.1,0.16,Comedy
0.66,0.34,0.42,0.32,0.28,0.37,0.25,0.16,0.21,Comedy
0.74,0.63,0.57,0.38,0.59,0.6,0.45,0.47,0.24,Action
0.43,0.82,0.41,0.55,0.28,0.24,0.32,0.2,0.39,Drama
0.68,0.55,0.45,0.6,0.24,0.34,0.42,0.22,0.36,Crime
0.8,0.51,0.36,0.34,0.29,0.42,0.41,0.25,0.31,Comedy
0.8,0.35,0.37,0.29,0.33,0.47,0.33,0.23,0.22,Action
0.74,0.42,0.62,0.25,0.37,0.26,0.13,0.12,0.13,Comedy
0.35,0.4,0.14,0.53,0.12,0.33,0.35,0.12,0.32,Action
0.55,0.5,0.46,0.38,0.24,0.33,0.26,0.15,0.29,Action
0.61,0.47,0.33,0.44,0.16,0.21,0.23,0.1,0.35,Horror
0.73,0.35,0.28,0.27,0.15,0.28,0.18,0.08,0.18,Crime
0.85,0.4,0.37,0.33,0.23,0.34,0.28,0.15,0.27,Comedy
0.54,0.43,0.3,0.59,0.16,0.18,0.15,0.07,0.25,Drama
0.11,0.13,0.23,0.24,0.07,0.19,0.15,0.05,0.3,Action
0.75,0.44,0.51,0.41,0.3,0.34,0.26,0.17,0.27,Comedy
0.84,0.36,0.35,0.32,0.25,0.4,0.26,0.15,0.19,Comedy
0.62,0.53,0.33,0.55,0.29,0.4,0.44,0.26,0.32,Comedy
0.83,0.37,0.34,0.44,0.36,0.52,0.36,0.26,0.21,Adventure
0.56,0.39,0.21,0.29,0.15,0.29,0.23,0.1,0.23,Comedy
0.77,0.37,0.44,0.22,0.33,0.34,0.19,0.14,0.17,Drama
0.6,0.51,0.33,0.42,0.15,0.21,0.24,0.1,0.32,Action
0.6,0.52,0.36,0.34,0.23,0.38,0.42,0.22,0.37,Crime
0.54,0.71,0.57,0.22,0.31,0.4,0.34,0.22,0.35,Crime
0.64,0.54,0.26,0.5,0.19,0.26,0.26,0.12,0.27,Adventure
0.88,0.64,0.75,0.12,0.58,0.47,0.24,0.27,0.13,Drama
0.82,0.4,0.41,0.6,0.22,0.33,0.35,0.18,0.32,Drama
0.7,0.3,0.4,0.17,0.4,0.59,0.4,0.31,0.25,Horror
0.89,0.36,0.35,0.25,0.26,0.38,0.27,0.16,0.21,Biography
0.61,0.33,0.21,0.25,0.16,0.35,0.27,0.12,0.22,Biography
0.85,0.39,0.38,0.32,0.33,0.43,0.29,0.2,0.19,Crime
0.76,0.46,0.4,0.3,0.4,0.5,0.38,0.29,0.21,Action
0.69,0.3,0.59,0.43,0.15,0.08,0.03,0.02,0.08,Crime
0.82,0.6,0.38,0.57,0.32,0.4,0.43,0.28,0.29,Action
0.1,0.54,0.25,0.48,0.13,0.29,0.46,0.17,0.68,Action
0.62,0.65,0.51,0.44,0.29,0.29,0.25,0.16,0.27,Drama
0.69,0.45,0.31,0.69,0.21,0.32,0.44,0.21,0.41,Crime
0.65,0.52,0.42,0.28,0.14,0.13,0.12,0.05,0.27,Horror
0.56,0.44,0.45,0.46,0.22,0.28,0.23,0.12,0.28,Comedy
0.81,0.42,0.28,0.35,0.28,0.47,0.34,0.21,0.2,Drama
0.87,0.53,0.37,0.49,0.37,0.54,0.56,0.4,0.29,Drama
0.62,0.29,0.44,0.29,0.16,0.17,0.09,0.05,0.17,Crime
0.38,0.2,0.26,0.14,0.08,0.15,0.07,0.03,0.16,Drama
0.63,0.44,0.44,0.36,0.2,0.37,0.31,0.15,0.28,Biography
0.71,0.56,0.53,0.42,0.24,0.22,0.17,0.1,0.23,Drama
0.67,0.41,0.35,0.32,0.18,0.3,0.23,0.11,0.23,Action
0.71,0.4,0.5,0.3,0.31,0.3,0.19,0.13,0.18,Action
0.58,0.37,0.51,0.33,0.19,0.17,0.1,0.06,0.17,Drama
0.78,0.53,0.9,0.02,0.31,0.1,0.04,0.05,0.02,Horror
0.84,0.5,0.65,0.24,0.24,0.21,0.11,0.07,0.16,Action
0.85,0.57,0.5,0.35,0.29,0.27,0.22,0.14,0.24,Comedy
0.61,0.57,0.63,0.24,0.52,0.52,0.31,0.3,0.24,Drama
0.77,0.55,0.4,0.33,0.34,0.42,0.37,0.25,0.26,Comedy
0.77,0.29,0.26,0.35,0.19,0.35,0.23,0.11,0.2,Action
0.71,0.43,0.27,0.34,0.2,0.41,0.35,0.17,0.25,Drama
0.57,0.47,0.42,0.43,0.2,0.34,0.27,0.13,0.23,Drama
0.6,0.47,0.33,0.4,0.22,0.36,0.39,0.19,0.36,Comedy
0.41,0.53,0.66,0.11,0.15,0.1,0.05,0.03,0.2,Action
0.3,0.26,0.17,0.25,0.11,0.29,0.28,0.1,0.32,Comedy
0.62,0.53,0.57,0.36,0.25,0.22,0.13,0.09,0.19,Adventure
0.85,0.24,0.34,0.19,0.22,0.29,0.14,0.08,0.15,Adventure
0.7,0.5,0.4,0.45,0.37,0.58,0.52,0.37,0.29,Comedy
0.61,0.41,0.35,0.4,0.32,0.5,0.42,0.27,0.26,Action
0.6,0.25,0.37,0.21,0.23,0.36,0.23,0.13,0.2,Comedy
0.83,0.63,0.56,0.57,0.16,0.11,0.13,0.06,0.31,Horror
0.62,0.55,0.22,0.64,0.27,0.57,0.9,0.5,0.39,Biography
0.58,0.38,0.39,0.34,0.29,0.41,0.31,0.19,0.25,Comedy
0.77,0.53,0.38,0.56,0.21,0.28,0.3,0.15,0.38,Crime
0.74,0.45,0.41,0.4,0.24,0.25,0.22,0.13,0.25,Drama
0.73,0.53,0.41,0.57,0.19,0.28,0.3,0.14,0.31,Drama
0.57,0.51,0.4,0.49,0.27,0.34,0.31,0.18,0.28,Biography
0.65,0.32,0.57,0.11,0.26,0.26,0.13,0.09,0.15,Drama
0.7,0.25,0.29,0.34,0.19,0.36,0.27,0.13,0.25,Biography
0.43,0.42,0.45,0.67,0.12,0.15,0.21,0.08,0.41,Comedy
0.57,0.63,0.58,0.27,0.15,0.15,0.11,0.05,0.3,Drama
0.72,0.61,0.47,0.46,0.17,0.17,0.15,0.07,0.31,Action
0.44,0.42,0.25,0.41,0.1,0.21,0.21,0.07,0.33,Drama
0.73,0.58,0.49,0.45,0.38,0.5,0.47,0.34,0.32,Comedy
0.66,0.47,0.56,0.42,0.24,0.21,0.14,0.09,0.2,Action
0.5,0.75,0.54,0.48,0.23,0.27,0.26,0.14,0.36,Horror
0.73,0.42,0.41,0.29,0.25,0.29,0.19,0.11,0.17,Drama
0.73,0.72,0.54,0.4,0.43,0.48,0.45,0.36,0.31,Comedy
0.78,0.4,0.28,0.38,0.19,0.31,0.25,0.12,0.23,Drama
0.89,0.88,0.77,0.26,0.37,0.23,0.13,0.12,0.17,Crime
0.66,0.69,0.77,0.15,0.34,0.28,0.14,0.11,0.18,Action
0.64,0.38,0.35,0.28,0.1,0.15,0.1,0.04,0.22,Drama
0.57,0.34,0.48,0.52,0.17,0.23,0.21,0.1,0.3,Horror
0.69,0.11,0.35,0.17,0.09,0.13,0.05,0.02,0.14,Adventure
0.77,0.58,0.54,0.26,0.44,0.45,0.31,0.26,0.22,Action
0.55,0.47,0.42,0.62,0.18,0.26,0.28,0.13,0.34,Action
0.76,0.44,0.34,0.34,0.33,0.45,0.32,0.22,0.18,Action
0.78,0.49,0.48,0.52,0.34,0.5,0.38,0.26,0.21,Drama
0.77,0.41,0.61,0.27,0.27,0.23,0.12,0.09,0.18,Comedy
0.62,0.47,0.34,0.45,0.24,0.32,0.33,0.18,0.33,Drama
0.75,0.23,0.56,0.12,0.2,0.22,0.1,0.06,0.16,Action
0.71,0.36,0.67,0.05,0.36,0.26,0.11,0.1,0.13,Horror
0.86,0.41,0.52,0.24,0.27,0.35,0.23,0.14,0.21,Comedy
0.93,0.44,0.35,0.55,0.31,0.55,0.44,0.28,0.2,Comedy
0.59,0.54,0.46,0.56,0.22,0.27,0.31,0.16,0.4,Action
0.66,0.18,0.2,0.2,0.13,0.29,0.16,0.07,0.18,Action
0.54,0.54,0.47,0.37,0.23,0.25,0.2,0.11,0.29,Drama
0.55,0.43,0.18,0.57,0.14,0.34,0.45,0.17,0.37,Action
0.61,0.45,0.22,0.42,0.11,0.23,0.2,0.07,0.27,Crime
0.81,0.65,0.7,0.12,0.63,0.56,0.31,0.36,0.19,Comedy
0.76,0.32,0.4,0.22,0.22,0.35,0.25,0.13,0.25,Drama
0.8,0.44,0.65,0.22,0.73,0.53,0.26,0.35,0.1,Drama
0.89,0.56,0.88,0.15,0.73,0.48,0.2,0.29,0.07,Comedy
0.73,0.35,0.22,0.31,0.27,0.57,0.41,0.24,0.22,Crime
0.25,0.31,0.02,0.43,0.08,0.35,0.37,0.11,0.32,Biography
0.74,0.8,0.54,0.31,0.2,0.19,0.18,0.1,0.39,Horror
0.78,0.99,0.74,0.42,0.42,0.41,0.35,0.28,0.43,Horror
0.71,0.38,0.32,0.44,0.26,0.41,0.37,0.21,0.29,Action
0.79,0.55,0.61,0.33,0.4,0.36,0.22,0.18,0.2,Horror
0.55,0.27,0.1,0.32,0.12,0.41,0.41,0.15,0.32,Crime
0.66,0.38,0.44,0.3,0.35,0.48,0.32,0.23,0.24,Adventure
0.74,0.42,0.48,0.3,0.5,0.68,0.48,0.43,0.22,Comedy
0.84,0.44,0.69,0.19,0.52,0.37,0.17,0.19,0.11,Drama
0.66,0.44,0.28,0.45,0.2,0.35,0.35,0.17,0.32,Action
0.62,0.54,0.52,0.19,0.38,0.41,0.31,0.24,0.27,Action
0.73,0.45,0.38,0.26,0.31,0.48,0.4,0.25,0.27,Comedy
0.55,0.25,0.21,0.14,0.19,0.44,0.38,0.17,0.28,Comedy
0.61,0.54,0.74,0.11,0.18,0.04,0.02,0.02,0.07,Drama
0.39,0.58,0.43,0.54,0.12,0.11,0.2,0.07,0.49,Comedy
0.27,0.14,0.36,0.05,0.08,0.13,0.08,0.03,0.24,Crime
0.88,0.29,0.47,0.29,0.48,0.6,0.36,0.32,0.19,Comedy
0.78,0.47,0.47,0.27,0.36,0.41,0.27,0.2,0.2,Crime
0.84,0.41,0.27,0.39,0.3,0.54,0.48,0.29,0.26,Comedy
0.48,0.33,0.19,0.26,0.13,0.28,0.25,0.1,0.34,Action
0.66,0.51,0.43,0.33,0.15,0.16,0.13,0.06,0.27,Drama
0.61,0.42,0.23,0.31,0.14,0.27,0.21,0.09,0.21,Drama
0.75,0.34,0.23,0.25,0.23,0.46,0.33,0.18,0.22,Comedy
0.65,0.5,0.38,0.47,0.24,0.35,0.37,0.2,0.31,Action
0.69,0.4,0.51,0.11,0.17,0.2,0.13,0.07,0.24,Drama
0.47,0.36,0.23,0.26,0.16,0.3,0.25,0.11,0.27,Comedy
0.43,0.49,0.35,0.46,0.15,0.26,0.27,0.11,0.36,Crime
0.24,0.5,0.33,0.61,0.1,0.12,0.21,0.07,0.46,Horror
0.59,0.44,0.16,0.43,0.17,0.43,0.4,0.17,0.24,Comedy
0.81,0.47,0.38,0.39,0.41,0.54,0.43,0.33,0.25,Comedy
0.42,0.41,0.32,0.39,0.08,0.12,0.16,0.05,0.42,Drama
0.63,0.37,0.3,0.51,0.23,0.43,0.45,0.23,0.31,Comedy
0.57,0.66,0.58,0.38,0.2,0.24,0.23,0.12,0.45,Drama
0.4,0.56,0.53,0.28,0.23,0.29,0.23,0.13,0.31,Comedy
0.67,0.47,0.26,0.41,0.17,0.32,0.31,0.14,0.3,Drama
0.89,0.39,0.51,0.22,0.54,0.59,0.32,0.32,0.16,Drama
0.6,0.69,0.42,0.65,0.34,0.29,0.41,0.27,0.35,Action
0.58,0.69,0.45,0.6,0.35,0.26,0.27,0.2,0.27,Comedy
0.41,0.52,0.33,0.52,0.15,0.25,0.31,0.12,0.45,Drama
0.86,0.43,0.21,0.5,0.23,0.49,0.45,0.23,0.24,Comedy
0.59,0.68,0.54,0.62,0.27,0.17,0.18,0.12,0.28,Action
0.58,0.37,0.37,0.26,0.17,0.24,0.17,0.08,0.24,Crime
0.84,0.43,0.69,0.17,0.45,0.4,0.2,0.19,0.14,Comedy
0.76,0.65,0.67,0.29,0.24,0.18,0.16,0.1,0.26,Comedy
0.67,0.47,0.26,0.43,0.23,0.49,0.46,0.23,0.23,Comedy
0.68,0.56,0.39,0.6,0.33,0.54,0.67,0.43,0.39,Action
0.55,0.15,0.59,0.01,0.19,0.18,0.07,0.05,0.13,Drama
0.49,0.82,0.59,0.5,0.25,0.27,0.29,0.17,0.41,Action
0.57,0.72,0.44,0.44,0.26,0.36,0.49,0.27,0.53,Action
0.75,0.63,0.68,0.23,0.41,0.32,0.17,0.16,0.18,Action
0.46,0.66,0.44,0.4,0.2,0.23,0.22,0.11,0.34,Action
0.56,0.25,0.47,0.26,0.2,0.24,0.13,0.07,0.18,Crime
0.7,0.65,0.62,0.66,0.37,0.29,0.33,0.25,0.3,Action
0.67,0.63,0.67,0.23,0.32,0.24,0.13,0.11,0.21,Action
0.75,0.45,0.54,0.14,0.34,0.35,0.2,0.15,0.18,Adventure
0.72,0.42,0.36,0.49,0.27,0.42,0.39,0.22,0.29,Action
0.39,0.56,0.45,0.44,0.2,0.24,0.24,0.12,0.34,Action
0.39,0.71,0.41,0.52,0.14,0.21,0.29,0.12,0.52,Action
0.76,0.37,0.36,0.26,0.35,0.56,0.41,0.29,0.23,Action
0.79,0.53,0.5,0.32,0.5,0.49,0.34,0.32,0.2,Comedy
0.71,0.46,0.41,0.28,0.29,0.33,0.22,0.15,0.18,Action
0.61,0.36,0.31,0.1,0.1,0.15,0.13,0.05,0.28,Comedy
0.57,0.53,0.56,0.25,0.27,0.36,0.28,0.17,0.35,Comedy
0.83,0.55,0.57,0.29,0.33,0.36,0.24,0.17,0.2,Horror
0.18,0.32,0.47,0.3,0.12,0.18,0.13,0.05,0.3,Comedy
0.7,0.49,0.34,0.48,0.21,0.33,0.3,0.15,0.27,Action
0.86,0.54,0.46,0.53,0.37,0.46,0.42,0.3,0.26,Crime
0.81,0.45,0.49,0.3,0.48,0.6,0.4,0.36,0.2,Action
0.64,0.52,0.29,0.47,0.23,0.39,0.37,0.19,0.26,Drama
0.68,0.41,0.4,0.36,0.26,0.37,0.32,0.18,0.3,Drama
0.76,0.37,0.24,0.33,0.13,0.26,0.27,0.11,0.32,Drama
0.54,0.42,0.24,0.28,0.11,0.21,0.22,0.08,0.33,Comedy
0.8,0.41,0.31,0.52,0.21,0.32,0.27,0.14,0.26,Comedy
0.13,0.34,0.22,0.21,0.12,0.24,0.22,0.08,0.36,Comedy
0.23,0.28,0.21,0.3,0.1,0.26,0.19,0.06,0.24,Crime
0.55,0.32,0.39,0.41,0.13,0.17,0.1,0.05,0.19,Drama
0.75,0.49,0.46,0.44,0.25,0.35,0.29,0.16,0.24,Drama
0.84,0.38,0.51,0.23,0.29,0.27,0.14,0.1,0.13,Comedy
0.58,0.43,0.3,0.54,0.09,0.14,0.2,0.07,0.44,Action
0.68,0.53,0.29,0.5,0.34,0.6,0.62,0.41,0.25,Comedy
0.31,0.34,0.19,0.29,0.1,0.24,0.21,0.07,0.33,Crime
0.73,0.32,0.43,0.23,0.16,0.19,0.11,0.06,0.18,Drama
0.59,0.32,0.21,0.2,0.1,0.21,0.14,0.05,0.2,Crime
0.83,0.51,0.44,0.47,0.19,0.2,0.14,0.08,0.16,Crime
0.41,0.54,0.23,0.57,0.07,0.14,0.24,0.07,0.48,Action
0.72,0.43,0.57,0.36,0.24,0.26,0.15,0.09,0.18,Comedy
0.7,0.47,0.47,0.53,0.27,0.29,0.23,0.14,0.24,Action
0.48,0.24,0.37,0.36,0.14,0.18,0.12,0.05,0.26,Drama
0.86,0.61,0.9,0.03,0.64,0.3,0.13,0.19,0.04,Horror
0.43,0.48,0.47,0.25,0.25,0.43,0.4,0.22,0.36,Drama
0.84,0.33,0.41,0.28,0.32,0.43,0.28,0.19,0.21,Comedy
0.69,0.4,0.24,0.25,0.13,0.28,0.22,0.09,0.24,Biography
0.7,0.5,0.48,0.43,0.43,0.42,0.32,0.27,0.21,Action
0.56,0.42,0.28,0.41,0.13,0.23,0.27,0.1,0.34,Comedy
0.56,0.45,0.53,0.38,0.3,0.45,0.35,0.22,0.27,Comedy
0.8,0.5,0.49,0.41,0.35,0.36,0.24,0.18,0.23,Action
0.93,0.45,0.49,0.35,0.37,0.48,0.31,0.23,0.18,Crime
0.72,0.45,0.74,0.18,0.2,0,0.01,0.02,0,Horror
0.46,0.16,0.62,0.3,0.09,0.11,0.04,0.02,0.13,Action
0.75,0.33,0.48,0.26,0.34,0.42,0.25,0.18,0.19,Comedy
0.59,0.47,0.51,0.44,0.39,0.45,0.34,0.26,0.25,Action
0.71,0.56,0.36,0.41,0.41,0.58,0.61,0.47,0.33,Drama
0.08,0.31,0.33,0.3,0.04,0.06,0.08,0.02,0.36,Action
0.7,0.55,0.69,0.16,0.36,0.38,0.22,0.17,0.22,Drama
0.73,0.62,0.58,0.28,0.77,0.63,0.4,0.53,0.18,Action
0.75,0.54,0.26,0.7,0.23,0.4,0.66,0.33,0.43,Action
0.77,0.57,0.61,0.3,0.5,0.42,0.26,0.25,0.16,Action
0.48,0.45,0.29,0.47,0.13,0.31,0.33,0.12,0.34,Action
0.59,0.35,0.53,0.29,0.17,0.18,0.11,0.06,0.21,Action
0.44,0.41,0.54,0.22,0.21,0.23,0.14,0.08,0.22,Drama
0.36,0.53,0.38,0.48,0.22,0.35,0.43,0.21,0.43,Action
0.89,0.54,0.95,0.08,0.46,0.21,0.08,0.1,0.02,Comedy
0.73,0.57,0.62,0.36,0.39,0.3,0.19,0.16,0.18,Action
0.73,0.77,0.74,0.37,0.51,0.54,0.36,0.34,0.26,Action
0.44,0.33,0.22,0.31,0.12,0.24,0.21,0.08,0.31,Action
0.64,0.64,0.75,0.26,0.58,0.62,0.35,0.37,0.22,Crime
0.51,0.31,0.16,0.6,0.11,0.31,0.36,0.12,0.34,Comedy
0.76,0.52,0.59,0.32,0.42,0.36,0.23,0.2,0.15,Drama
0.81,0.27,0.33,0.26,0.21,0.34,0.19,0.1,0.18,Drama
0.47,0.52,0.4,0.85,0.19,0.26,0.48,0.22,0.53,Crime
0.48,0.36,0.21,0.38,0.14,0.34,0.37,0.14,0.35,Drama
0.69,0.28,0.18,0.23,0.19,0.44,0.32,0.15,0.21,Drama
0.65,0.42,0.51,0.41,0.19,0.21,0.12,0.07,0.15,Crime
0.19,0.29,0.33,0.44,0.12,0.25,0.22,0.08,0.31,Drama
0.28,0.23,0.17,0.19,0.08,0.26,0.19,0.06,0.24,Drama
0.79,0.35,0.24,0.44,0.19,0.37,0.32,0.15,0.28,Adventure
0.69,0.69,0.38,0.66,0.15,0.19,0.36,0.15,0.51,Action
0.47,0.56,0.25,0.5,0.15,0.26,0.37,0.15,0.44,Drama
0.71,0.28,0.24,0.29,0.21,0.45,0.34,0.17,0.27,Drama
0.88,0.38,0.48,0.2,0.37,0.39,0.22,0.17,0.16,Comedy
0.46,0.33,0.29,0.31,0.17,0.3,0.27,0.12,0.32,Action
0.74,0.42,0.37,0.25,0.21,0.35,0.27,0.14,0.27,Action
0.89,0.4,0.29,0.3,0.44,0.69,0.51,0.42,0.22,Comedy
0.82,0.49,0.37,0.59,0.23,0.32,0.33,0.17,0.31,Action
0.54,0.27,0.32,0.21,0.13,0.21,0.12,0.05,0.18,Drama
0.71,0.59,0.49,0.57,0.34,0.33,0.3,0.21,0.22,Action
0.64,0.53,0.34,0.46,0.25,0.44,0.45,0.25,0.28,Crime
0.65,0.31,0.25,0.3,0.14,0.26,0.17,0.07,0.19,Action
0.93,0.38,0.47,0.39,0.34,0.4,0.23,0.17,0.16,Adventure
0.68,0.48,0.37,0.42,0.37,0.49,0.41,0.3,0.22,Biography
0.65,0.51,0.25,0.54,0.2,0.38,0.67,0.31,0.47,Action
0.71,0.39,0.26,0.29,0.32,0.57,0.49,0.31,0.25,Crime
0.64,0.46,0.23,0.38,0.2,0.4,0.43,0.2,0.31,Comedy
0.79,0.3,0.31,0.37,0.24,0.38,0.25,0.14,0.2,Drama
0.49,0.15,0.22,0.12,0.09,0.2,0.1,0.04,0.17,Drama
0.58,0.62,0.49,0.59,0.23,0.23,0.33,0.17,0.38,Crime
0.55,0.31,0.55,0.32,0.14,0.2,0.11,0.05,0.18,Crime
0.84,0.5,0.59,0.23,0.39,0.34,0.2,0.17,0.16,Comedy
0.73,0.52,0.69,0.12,0.7,0.66,0.35,0.43,0.17,Adventure
0.75,0.39,0.37,0.23,0.19,0.26,0.16,0.08,0.17,Action
0.81,0.48,0.5,0.33,0.31,0.33,0.22,0.15,0.21,Action
0.59,0.39,0.21,0.57,0.12,0.26,0.33,0.12,0.42,Comedy
0.88,0.42,0.49,0.26,0.79,0.81,0.47,0.62,0.15,Action
